Participant,Affiliation
"Adamack, Aaron","DFO, Newfoundland and Labrador Region"
"Baker, Krista","DFO, Newfoundland and Labrador Region"
"Benoît, Hugues","DFO, Quebec Region"
"Boudreau, Stephanie","DFO, Gulf Region"
"Burton, Meghan","DFO, Pacific Region"
"Cadrin, Steve","University of Massachusetts, Dartmouth"
"Cleary, Jaclyn","DFO, Pacific Region"
"Edwards, Andrew","DFO, Pacific Region"
"Forrest, Robyn","DFO, Pacific Region"
"Gullage, Nick","DFO, Newfoundland and Labrador Region"
"Harbicht, Andrew","DFO, Gulf Region"
"Hatefi, Fatemeh","DFO, Newfoundland and Labrador Region"
"Hebert, Nathan","DFO, Maritimes Region"
"Hedges, Kevin","DFO, Arctic Region"
"Holt, Carrie","DFO, Pacific Region"
"Howell, Daniel","Institute of Marine Research, Bergen"
"Koen-Alonso, Mariano","DFO, Newfoundland and Labrador Region"
"Mazur, Mackenzie","DFO, Pacific Region"
"Munro, Hannah","DFO, Newfoundland and Labrador Region"
"Neville, Victoria","DFO, Newfoundland and Labrador Region"
"Oldford, Greig","DFO, Pacific Region"
"Regular, Paul","DFO, Newfoundland and Labrador Region"
"Ricard, Daniel","DFO, Gulf Region"
"Rideout, Rick","DFO, Newfoundland and Labrador Region"
"Robertson, Matt","Marine Institute, Memorial University of Newfoundland"
"Sylvain, François-Étienne","DFO, Gulf Region"
"Travis Tai","DFO, Pacific Region"
"Varkey, Divya","DFO, Newfoundland and Labrador Region"
"Wheeland, Laura","DFO, Newfoundland and Labrador Region"
"Wor, Catarina","DFO, Pacific Region"
"Yin, Yihao","DFO, Maritimes Region"
"Zhu, Xinhua","DFO, Arctic Region"
