Participant,Affiliation
"Adamack, Aaron","MPO, Région de Terre-Neuve et Labrador"
"Baker, Krista","MPO, Région de Terre-Neuve et Labrador"
"Benoît, Hugues","MPO, Région du Québec"
"Boudreau, Stephanie","MPO, Région du Golfe"
"Burton, Meghan","MPO, Région du Pacifique"
"Cadrin, Steve","University of Massachusetts, Dartmouth"
"Cleary, Jaclyn","MPO, Région du Pacifique"
"Edwards, Andrew","MPO, Région du Pacifique"
"Forrest, Robyn","MPO, Région du Pacifique"
"Gullage, Nick","MPO, Région de Terre-Neuve et Labrador"
"Harbicht, Andrew","MPO, Région du Golfe"
"Hatefi, Fatemeh","MPO, Région de Terre-Neuve et Labrador"
"Hebert, Nathan","MPO, Région des Maritimes"
"Hedges, Kevin","MPO, Région de l'Arctique"
"Holt, Carrie","MPO, Région du Pacifique"
"Howell, Daniel","Institute of Marine Research, Bergen"
"Koen-Alonso, Mariano","MPO, Région de Terre-Neuve et Labrador"
"Kumar, Rajeev","MPO, Région de Terre-Neuve et Labrador"
"Mazur, Mackenzie","MPO, Région du Pacifique"
"Munro, Hannah","MPO, Région de Terre-Neuve et Labrador"
"Neville, Victoria","MPO, Région de Terre-Neuve et Labrador"
"OlMPOrd, Greig","MPO, Région du Pacifique"
"Regular, Paul","MPO, Région de Terre-Neuve et Labrador"
"Ricard, Daniel","MPO, Région du Golfe"
"Rideout, Rick","MPO, Région de Terre-Neuve et Labrador"
"Robertson, Matt","Marine Institute, Memorial University of Newfoundland"
"Sylvain, François-Étienne","MPO, Région du Golfe"
"Travis Tai","MPO, Région du Pacifique"
"Varkey, Divya","MPO, Région de Terre-Neuve et Labrador"
"Wheeland, Laura","MPO, Région de Terre-Neuve et Labrador"
"Wor, Catarina","MPO, Région du Pacifique"
"Yin, Yihao","MPO, Région des Maritimes"
"Zhu, Xinhua","MPO, Région de l'Arctique"
